player_name,Price in $,Role,team,auction_year,Price in rs,nationality,base_price,winning_bid,capped_status
Christopher Morris,"625,000",All-Rounder,Chennai Super Kings,2013,,,,,
Dirk Nannes,"600,000",Bowler,Chennai Super Kings,2013,,,,,
Ben Laughlin,"20,000",Bowler,Chennai Super Kings,2013,,,,,
Akila Dananjaya,"20,000",All-Rounder,Chennai Super Kings,2013,,,,,
Jason Holder,"20,000",Bowler,Chennai Super Kings,2013,,,,,
Johan Botha,"450,000",All-Rounder,Delhi Daredevils,2013,,,,,
Jesse Ryder,"260,000",All-Rounder,Delhi Daredevils,2013,,,,,
Jeevan Mendis,"50,000",All-Rounder,Delhi Daredevils,2013,,,,,
Manpreet Gony,"500,000",Bowler,Kings XI Punjab,2013,,,,,
Luke Pomersbach,"300,000",Batsman,Kings XI Punjab,2013,,,,,
Sachithra Senanayaka,"625,000",All-Rounder,Kolkata Knight Riders,2013,,,,,
Ryan McLaren,"50,000",Bowler,Kolkata Knight Riders,2013,,,,,
Glenn Maxwell,"1,000,000",All-Rounder,Mumbai Indians,2013,,,,,
Nathan Coulter-Nile,"450,000",Bowler,Mumbai Indians,2013,,,,,
Ricky Ponting,"400,000",Batsman,Mumbai Indians,2013,,,,,
Philip Hughes,"100,000",Batsman,Mumbai Indians,2013,,,,,
Jacob Oram,"50,000",All-Rounder,Mumbai Indians,2013,,,,,
Ajantha Mendis,"725,000",Bowler,Pune Warriors India,2013,,,,,
Kane Richardson,"700,000",Bowler,Pune Warriors India,2013,,,,,
Abhishek Nayar,"675,000",All-Rounder,Pune Warriors India,2013,,,,,
Michael Clarke,"400,000",Batsman,Pune Warriors India,2013,,,,,
James Faulkner,"400,000",All-Rounder,Rajasthan Royals,2013,,,,,
Fidel Edwards,"210,000",Bowler,Rajasthan Royals,2013,,,,,
Kusal Janith Perera,"20,000",Wicket Keeper,Rajasthan Royals,2013,,,,,
Jaydev Unadkat,"525,000",Bowler,Royal Challengers Bengaluru,2013,,,,,
