batter,total_runs,balls_faced,dismissals,fours,sixes,strike_rate,batting_average,bat_score,team_2026
V Kohli,8014,6236,218,708,273,128.51,36.76,70.68,Royal Challengers Bengaluru
S Dhawan,6769,5483,194,768,153,123.45,34.89,59.78,Unknown
RG Sharma,6630,5183,232,599,281,127.92,28.58,62.42,Mumbai Indians
DA Warner,6567,4849,164,663,236,135.43,40.04,64.33,Delhi Capitals
SK Raina,5536,4177,168,506,204,132.54,32.95,56.47,Unknown
MS Dhoni,5243,3947,149,363,252,132.84,35.19,56.79,Chennai Super Kings
AB de Villiers,5181,3487,125,414,253,148.58,41.45,60.69,Unknown
CH Gayle,4997,3516,128,408,359,142.12,39.04,61.03,Unknown
RV Uthappa,4954,3927,184,481,182,126.15,26.92,50.63,Royal Challengers Bengaluru
KD Karthik,4843,3687,189,466,161,131.35,25.62,50.28,Royal Challengers Bengaluru
KL Rahul,4689,3578,106,400,187,131.05,44.24,53.44,Delhi Capitals
AM Rahane,4642,3858,156,479,103,120.32,29.76,46.22,Kolkata Knight Riders
F du Plessis,4571,3435,125,422,166,133.07,36.57,51.31,Royal Challengers Bengaluru
SV Samson,4419,3270,142,352,206,135.14,31.12,51.12,Rajasthan Royals
AT Rayudu,4348,3490,152,359,173,124.58,28.61,47.33,Chennai Super Kings
G Gambhir,4217,3524,135,492,59,119.67,31.24,43.0,Unknown
SR Watson,3880,2892,126,377,190,134.16,30.79,47.72,Unknown
MK Pandey,3859,3288,133,335,111,117.37,29.02,41.81,Unknown
SA Yadav,3594,2522,112,385,130,142.51,32.09,46.49,Mumbai Indians
JC Buttler,3583,2519,96,356,161,142.24,37.32,48.16,Rajasthan Royals
KA Pollard,3437,2447,129,221,224,140.46,26.64,46.96,Unknown
RR Pant,3297,2296,96,298,154,143.6,34.34,46.28,Delhi Capitals
YK Pathan,3222,2334,111,263,161,138.05,29.03,44.08,Unknown
Shubman Gill,3216,2432,86,310,95,132.24,37.4,42.53,Gujarat Titans
Q de Kock,3160,2410,101,316,123,131.12,31.29,41.74,Mumbai Indians
SS Iyer,3131,2545,102,272,113,123.03,30.7,39.63,Kolkata Knight Riders
RA Jadeja,2959,2378,114,215,107,124.43,25.96,38.04,Chennai Super Kings
WP Saha,2934,2368,121,296,87,123.9,24.25,36.96,Unknown
DA Miller,2924,2171,84,207,134,134.68,34.81,42.18,Unknown
BB McCullum,2882,2272,106,293,130,126.85,27.19,38.99,Unknown
PA Patel,2848,2442,127,365,49,116.63,22.43,33.72,Unknown
GJ Maxwell,2772,1842,111,233,160,150.49,24.97,43.52,Royal Challengers Bengaluru
Yuvraj Singh,2754,2207,109,218,149,124.78,25.27,38.14,Mumbai Indians
V Sehwag,2728,1833,98,334,106,148.83,27.84,41.98,Unknown
MA Agarwal,2669,2081,116,265,98,128.26,23.01,36.58,Unknown
Ishan Kishan,2644,1991,91,255,119,132.8,29.05,38.98,Sunrisers Hyderabad
N Rana,2636,2015,94,234,132,130.82,28.04,38.74,Unknown
M Vijay,2619,2208,97,247,91,118.61,27.0,34.94,Unknown
HH Pandya,2534,1814,89,189,137,139.69,28.47,40.19,Mumbai Indians
SPD Smith,2495,1999,78,226,60,124.81,31.99,35.54,Unknown
SE Marsh,2489,1913,65,269,78,130.11,38.29,38.16,Unknown
AD Russell,2488,1515,84,171,209,164.22,29.62,46.97,Kolkata Knight Riders
JH Kallis,2427,2291,89,255,44,105.94,27.27,30.23,Unknown
DR Smith,2385,1803,81,245,117,132.28,29.44,37.6,Unknown
RD Gaikwad,2380,1781,56,217,91,133.63,42.5,39.4,Unknown
SR Tendulkar,2334,2044,71,296,29,114.19,32.87,31.94,Unknown
RA Tripathi,2236,1650,81,223,84,135.52,27.6,36.25,Unknown
R Dravid,2174,1918,77,269,28,113.35,28.23,30.14,Unknown
KS Williamson,2132,1734,59,187,64,122.95,36.14,34.2,Unknown
AJ Finch,2092,1696,84,214,78,123.35,24.9,32.5,Unknown
AC Gilchrist,2069,1555,76,239,92,133.05,27.22,35.08,Unknown
JP Duminy,2029,1680,49,126,79,120.77,41.41,34.6,Unknown
MEK Hussey,1977,1648,52,198,52,119.96,38.02,32.83,Unknown
PP Shaw,1892,1321,77,238,61,143.22,24.57,34.86,Unknown
MP Stoinis,1866,1366,67,150,91,136.6,27.85,34.84,Unknown
DPMD Jayawardene,1808,1522,64,200,40,118.79,28.25,29.71,Unknown
N Pooran,1769,1143,56,113,127,154.77,31.59,39.58,Unknown
Mandeep Singh,1706,1418,85,176,38,120.31,20.07,28.01,Kolkata Knight Riders
MK Tiwary,1695,1489,61,156,40,113.83,27.79,28.09,Unknown
KC Sangakkara,1687,1424,69,195,27,118.47,24.45,28.01,Unknown
AR Patel,1653,1318,78,107,79,125.42,21.19,30.08,Unknown
KH Pandya,1647,1287,74,144,61,127.97,22.26,30.24,Lucknow Super Giants
YBK Jaiswal,1607,1095,49,199,64,146.76,32.8,35.66,Unknown
JM Bairstow,1589,1132,48,166,69,140.37,33.1,34.5,Punjab Kings
DJ Bravo,1560,1247,69,120,66,125.1,22.61,29.44,Unknown
D Padikkal,1559,1323,63,170,42,117.84,24.75,27.72,Unknown
NV Ojha,1554,1360,74,121,79,114.26,21.0,27.36,Unknown
SP Narine,1534,984,84,164,97,155.89,18.26,35.45,Kolkata Knight Riders
S Dube,1502,1077,50,86,101,139.46,30.04,34.24,Unknown
KK Nair,1496,1192,65,161,39,125.5,23.02,28.52,Unknown
SS Tiwary,1494,1291,50,111,50,115.72,29.88,28.1,Unknown
DJ Hooda,1466,1170,77,96,61,125.3,19.04,28.24,Unknown
S Badrinath,1441,1245,48,154,28,115.74,30.02,27.25,Unknown
EJG Morgan,1406,1181,61,112,64,119.05,23.05,27.5,Unknown
BJ Hodge,1400,1153,46,122,43,121.42,30.43,28.65,Unknown
Abhishek Sharma,1377,925,55,128,73,148.86,25.04,33.81,Sunrisers Hyderabad
SC Ganguly,1349,1326,54,137,42,101.73,24.98,23.55,Unknown
CA Lynn,1329,974,39,132,66,136.45,34.08,32.52,Unknown
VR Iyer,1326,1000,43,121,61,132.6,30.84,31.04,Unknown
DJ Hussey,1322,1101,49,90,60,120.07,26.98,27.86,Unknown
SO Hetmyer,1243,854,40,76,82,145.55,31.08,33.8,Unknown
KM Jadhav,1208,1012,54,102,40,119.37,22.37,25.79,Unknown
R Parag,1173,909,47,84,60,129.04,24.96,28.52,Unknown
MM Ali,1162,849,49,95,67,136.87,23.71,29.98,Unknown
Tilak Varma,1156,830,28,90,58,139.28,41.29,33.25,Mumbai Indians
TM Dilshan,1153,1047,41,140,24,110.12,28.12,24.26,Unknown
IK Pathan,1150,985,53,88,38,116.75,21.7,24.81,Unknown
V Shankar,1115,890,43,80,45,125.28,25.93,27.24,Unknown
ML Hayden,1107,839,28,121,44,131.94,39.54,30.87,Unknown
M Vohra,1083,863,48,104,43,125.49,22.56,26.48,Unknown
LMP Simmons,1079,878,27,109,44,122.89,39.96,29.03,Unknown
B Sai Sudharsan,1034,770,21,95,32,134.29,49.24,32.33,Gujarat Titans
LRPL Taylor,1017,847,41,66,46,120.07,24.8,25.56,Unknown
R Tewatia,1013,788,43,84,47,128.55,23.56,27.02,Unknown
KP Pietersen,1001,758,29,91,40,132.06,34.52,29.37,Unknown
MC Henriques,1000,801,38,87,28,124.84,26.32,26.18,Unknown
AK Markram,995,787,33,73,35,126.43,30.15,27.33,Unknown
H Klaasen,993,613,26,56,64,161.99,38.19,36.51,Unknown
Y Venugopal Rao,985,865,42,77,37,113.87,23.45,23.7,Unknown
JA Morkel,975,712,40,61,55,136.94,24.38,28.84,Unknown
A Symonds,974,781,26,74,41,124.71,37.46,28.34,Unknown
CL White,971,774,35,76,38,125.45,27.74,26.68,Unknown
LS Livingstone,939,609,33,66,66,154.19,28.45,33.06,Unknown
BA Stokes,935,718,41,81,32,130.22,22.8,26.4,Unknown
DP Conway,924,669,20,100,30,138.12,46.2,31.94,Unknown
RK Singh,893,654,29,67,46,136.54,30.79,29.22,Unknown
HH Gibbs,886,837,32,83,31,105.85,27.69,22.21,Unknown
SM Curran,883,673,36,74,37,131.2,24.53,26.78,Unknown
STR Binny,880,700,44,66,35,125.71,20.0,24.83,Unknown
Harbhajan Singh,833,636,56,79,42,130.97,14.88,24.93,Kolkata Knight Riders
