bowler,balls_bowled,runs_conceded,wickets,dot_balls,overs,economy,bowling_avg,bowl_score,team_2026
YS Chahal,3521,4544,209,1246,586.83,7.74,21.74,86.17,Rajasthan Royals
DJ Bravo,3120,4236,206,1054,520.0,8.15,20.56,81.03,Unknown
SP Narine,4081,4580,200,1631,680.17,6.73,22.9,93.83,Kolkata Knight Riders
PP Chawla,3850,5097,198,1358,641.67,7.94,25.74,83.78,Unknown
R Ashwin,4524,5238,195,1606,754.0,6.95,26.86,91.18,Rajasthan Royals
B Kumar,3910,4852,195,1729,651.67,7.45,24.88,90.0,Unknown
SL Malinga,2827,3291,186,1217,471.17,6.98,17.69,84.26,Unknown
JJ Bumrah,3075,3670,182,1300,512.5,7.16,20.16,83.33,Mumbai Indians
A Mishra,3371,4091,182,1220,561.83,7.28,22.48,81.76,Unknown
RA Jadeja,3829,4822,168,1261,638.17,7.56,28.7,77.39,Chennai Super Kings
UT Yadav,3057,4262,163,1262,509.5,8.37,26.15,71.93,Unknown
Rashid Khan,2872,3295,157,1112,478.67,6.88,20.99,76.55,Unknown
Harbhajan Singh,3416,3996,157,1312,569.33,7.02,25.45,78.17,Kolkata Knight Riders
Sandeep Sharma,2822,3635,152,1157,470.33,7.73,23.91,71.4,Punjab Kings
HV Patel,2162,3039,151,757,360.33,8.43,20.13,62.77,Sunrisers Hyderabad
MM Sharma,2253,3207,147,803,375.5,8.54,21.82,61.77,Gujarat Titans
Mohammed Shami,2435,3351,144,1037,405.83,8.26,23.27,65.27,Unknown
AR Patel,3105,3767,131,1067,517.5,7.28,28.76,67.64,Unknown
TA Boult,2341,3173,128,1020,390.17,8.13,24.79,61.89,Unknown
R Vinay Kumar,2127,2953,126,801,354.5,8.33,23.44,57.78,Unknown
K Rabada,1829,2545,126,758,304.83,8.35,20.2,57.17,Unknown
AD Russell,1697,2591,125,616,282.83,9.16,20.73,51.0,Kolkata Knight Riders
A Nehra,1908,2447,120,828,318.0,7.69,20.39,60.01,Unknown
Z Khan,2200,2769,119,929,366.67,7.55,23.27,61.69,Unknown
JD Unadkat,2131,3149,109,707,355.17,8.87,28.89,49.73,Unknown
CH Morris,1726,2278,107,708,287.67,7.92,21.29,54.25,Unknown
SR Watson,2029,2622,106,850,338.17,7.75,24.74,56.57,Unknown
DW Steyn,2182,2453,105,1064,363.67,6.75,23.36,64.1,Unknown
P Kumar,2524,3197,102,1147,420.67,7.6,31.34,59.89,Unknown
RP Singh,1775,2297,100,790,295.83,7.76,22.97,54.36,Unknown
SN Thakur,1866,2768,100,669,311.0,8.9,27.68,46.95,Unknown
IK Pathan,2043,2629,99,885,340.5,7.72,26.56,55.45,Unknown
PP Ojha,1898,2317,98,707,316.33,7.32,23.64,55.21,Unknown
JA Morkel,1723,2297,96,683,287.17,8.0,23.93,50.88,Unknown
Mohammed Siraj,1958,2722,96,853,326.33,8.34,28.35,51.09,Royal Challengers Bengaluru
I Sharma,2309,3071,96,1035,384.83,7.98,31.99,55.13,Unknown
DS Kulkarni,1787,2393,91,765,297.83,8.03,26.3,50.48,Unknown
Kuldeep Yadav,1746,2364,89,539,291.0,8.12,26.56,46.86,Delhi Capitals
M Morkel,1629,2042,88,738,271.5,7.52,23.2,52.11,Unknown
Imran Tahir,1316,1684,86,451,219.33,7.68,19.58,47.41,Chennai Super Kings
L Balaji,1512,1998,85,582,252.0,7.93,23.51,47.4,Unknown
Arshdeep Singh,1364,1994,84,502,227.33,8.77,23.74,41.8,Punjab Kings
CV Varun,1590,2000,84,607,265.0,7.55,23.81,49.45,Unknown
MM Patel,1355,1682,82,612,225.83,7.45,20.51,49.55,Unknown
R Bhatia,1636,2023,82,467,272.67,7.42,24.67,48.0,Unknown
Avesh Khan,1335,1931,81,514,222.5,8.68,23.84,41.69,Lucknow Super Giants
KV Sharma,1495,2105,81,512,249.17,8.45,25.99,42.87,Unknown
AB Dinda,1516,1991,81,648,252.67,7.88,24.58,47.47,Unknown
KA Pollard,1488,2095,80,422,248.0,8.45,26.19,41.57,Unknown
DL Chahar,1669,2159,79,726,278.17,7.76,27.33,48.54,Unknown
KK Ahmed,1276,1839,78,541,212.67,8.65,23.58,41.44,Unknown
KH Pandya,2122,2554,78,705,353.67,7.22,32.74,50.88,Lucknow Super Giants
T Natarajan,1337,1931,76,444,222.83,8.67,25.41,39.71,Sunrisers Hyderabad
RD Chahar,1664,2122,76,590,277.33,7.65,27.92,46.79,Unknown
JP Faulkner,1238,1791,75,440,206.33,8.68,23.88,39.37,Unknown
MJ McClenaghan,1274,1730,75,534,212.33,8.15,23.07,43.26,Unknown
JH Kallis,1742,2265,74,640,290.33,7.8,30.61,46.11,Unknown
SK Trivedi,1506,1863,73,528,251.0,7.42,25.52,46.54,Unknown
Shakib Al Hasan,1484,1827,71,523,247.33,7.39,25.73,46.16,Kolkata Knight Riders
Mustafizur Rahman,1299,1723,70,489,216.5,7.96,24.61,42.52,Kolkata Knight Riders
HH Pandya,1418,2122,69,509,236.33,8.98,30.75,37.16,Mumbai Indians
Ravi Bishnoi,1411,1803,68,508,235.17,7.67,26.51,43.78,Rajasthan Royals
M Muralitharan,1528,1700,67,643,254.67,6.68,25.37,50.33,Unknown
PJ Cummins,1319,1905,66,497,219.83,8.67,28.86,37.92,Unknown
MG Johnson,1235,1655,66,557,205.83,8.04,25.08,41.93,Unknown
S Kaul,1209,1736,63,410,201.5,8.62,27.56,36.43,Unknown
SM Curran,1181,1862,62,396,196.83,9.46,30.03,31.61,Unknown
A Nortje,1054,1543,62,429,175.67,8.78,24.89,35.57,Unknown
JO Holder,995,1421,59,340,165.83,8.57,24.08,34.9,Unknown
SK Warne,1194,1426,59,442,199.0,7.17,24.17,43.46,Unknown
MA Starc,831,1106,59,361,138.5,7.99,18.75,38.2,Unknown
TG Southee,1206,1711,57,475,201.0,8.51,30.02,36.33,Unknown
LH Ferguson,958,1384,56,374,159.67,8.67,24.71,34.05,Unknown
S Nadeem,1415,1758,54,469,235.83,7.45,32.56,41.1,Unknown
M Prasidh Krishna,1152,1640,53,494,192.0,8.54,30.94,35.43,Unknown
S Gopal,991,1345,53,326,165.17,8.14,25.38,35.55,Unknown
NM Coulter-Nile,857,1079,52,387,142.83,7.55,20.75,39.13,Unknown
JC Archer,947,1157,49,444,157.83,7.33,23.61,40.23,Unknown
A Kumble,965,1050,49,397,160.83,6.53,21.43,43.88,Unknown
SB Jakati,1085,1444,49,355,180.83,7.99,29.47,35.71,Unknown
S Aravind,760,1025,48,302,126.67,8.09,21.35,34.32,Unknown
AJ Tye,685,975,48,225,114.17,8.54,20.31,31.05,Unknown
RJ Harris,832,1034,47,390,138.67,7.46,22.0,38.43,Unknown
TU Deshpande,774,1211,46,303,129.0,9.39,26.33,27.02,Unknown
MC Henriques,950,1268,46,315,158.33,8.01,27.57,34.41,Unknown
YK Pathan,1147,1400,45,419,191.17,7.32,31.11,39.02,Unknown
Iqbal Abdulla,920,1099,45,346,153.33,7.17,24.42,38.95,Unknown
MP Stoinis,803,1260,45,238,133.83,9.41,28.0,25.91,Unknown
VR Aaron,994,1439,45,415,165.67,8.69,31.98,31.77,Unknown
PJ Sangwan,856,1202,44,338,142.67,8.43,27.32,31.99,Unknown
DE Bollinger,576,684,43,270,96.0,7.12,15.91,37.83,Unknown
S Sreesanth,880,1120,43,416,146.67,7.64,26.05,36.82,Unknown
P Awana,747,1007,43,307,124.5,8.09,23.42,33.17,Unknown
R Sharma,928,1093,42,344,154.67,7.07,26.02,38.73,Unknown
GJ Maxwell,944,1283,41,309,157.33,8.15,31.29,32.4,Royal Challengers Bengaluru
MM Ali,758,888,40,273,126.33,7.03,22.2,37.62,Unknown
DT Christian,883,1174,40,316,147.17,7.98,29.35,33.13,Unknown
Yuvraj Singh,869,1078,39,269,144.83,7.44,27.64,35.17,Mumbai Indians
Washington Sundar,1054,1318,39,366,175.67,7.5,33.79,36.0,Gujarat Titans
WD Parnell,723,910,39,312,120.5,7.55,23.33,35.1,Unknown
MS Gony,888,1278,39,366,148.0,8.64,32.77,30.01,Unknown
M Kartik,1149,1366,39,405,191.5,7.13,35.03,38.4,Unknown
P Negi,716,937,38,249,119.33,7.85,24.66,32.54,Unknown
DP Nannes,646,762,38,306,107.67,7.08,20.05,37.26,Unknown
M Pathirana,451,549,37,178,75.17,7.3,14.84,34.35,Unknown
MR Marsh,560,769,37,189,93.33,8.24,20.78,29.54,Unknown
NLTC Perera,698,1010,37,238,116.33,8.68,27.3,27.81,Unknown
M Markande,720,1062,36,218,120.0,8.85,29.5,26.44,Unknown
KK Cooper,576,757,36,209,96.0,7.89,21.03,31.38,Unknown
JR Hazlewood,603,809,36,270,100.5,8.05,22.47,31.26,Unknown
PWH de Silva,552,751,36,209,92.0,8.16,20.86,29.96,Unknown
R Tewatia,843,1093,35,270,140.5,7.78,31.23,32.43,Unknown
CJ Jordan,674,1056,35,225,112.33,9.4,30.17,23.39,Unknown
M Ashwin,870,1150,35,298,145.0,7.93,32.86,31.97,Kings XI Punjab
DL Vettori,777,886,34,283,129.5,6.84,26.06,37.28,Unknown
AB Agarkar,782,1129,33,273,130.33,8.66,34.21,27.36,Unknown
MF Maharoof,420,504,33,177,70.0,7.2,15.27,33.9,Unknown
Shivam Mavi,649,906,33,267,108.17,8.38,27.45,28.76,Sunrisers Hyderabad
Harmeet Singh,549,709,31,213,91.5,7.75,22.87,30.95,Unknown
BA Stokes,689,984,31,250,114.83,8.57,31.74,27.08,Unknown
CR Woakes,440,650,31,173,73.33,8.86,20.97,24.65,Unknown
A Singh,473,621,31,200,78.83,7.88,20.03,30.12,Unknown
Umran Malik,494,738,31,218,82.33,8.96,23.81,24.65,Kolkata Knight Riders
Mukesh Kumar,399,684,31,137,66.5,10.29,22.06,16.71,Delhi Capitals
Azhar Mahmood,537,680,31,206,89.5,7.6,21.94,31.66,Unknown
B Lee,875,1060,30,400,145.83,7.27,35.33,35.44,Unknown
SK Raina,908,1117,30,299,151.33,7.38,37.23,33.67,Unknown
A Zampa,419,551,30,133,69.83,7.89,18.37,29.03,Unknown
Yash Dayal,578,889,29,223,96.33,9.23,30.66,22.81,Royal Challengers Bengaluru
L Ngidi,324,430,28,139,54.0,7.96,15.36,28.25,Unknown
AD Mathews,791,1070,28,237,131.83,8.12,38.21,28.57,Unknown
STR Binny,594,746,28,204,99.0,7.54,26.64,31.23,Unknown
PV Tambe,660,847,27,215,110.0,7.7,31.37,30.27,Unknown
J Botha,694,799,27,268,115.67,6.91,29.59,35.05,Unknown
