id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,toss_match_winner,home_team
335982,2008,Bangalore,2008-04-18,League,BB McCullum,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140,223,20,N,Normal,Asad Rauf,RE Koertzen,0,Royal Challengers Bengaluru
335983,2008,Chandigarh,2008-04-19,League,MEK Hussey,"PCA IS Bindra Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33,241,20,N,Normal,MR Benson,SL Shastri,1,Punjab Kings
335984,2008,Delhi,2008-04-19,League,MF Maharoof,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9,130,20,N,Normal,Aleem Dar,GA Pratapkumar,0,Delhi Capitals
335985,2008,Mumbai,2008-04-20,League,MV Boucher,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5,166,20,N,Normal,SJ Davis,DJ Harper,0,Mumbai Indians
335986,2008,Kolkata,2008-04-20,League,DJ Hussey,"Eden Gardens, Kolkata",Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,111,20,N,Normal,BF Bowden,K Hariharan,0,Kolkata Knight Riders
335987,2008,Jaipur,2008-04-21,League,SR Watson,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6,167,20,N,Normal,Aleem Dar,RB Tiffin,0,Rajasthan Royals
335988,2008,Hyderabad,2008-04-22,League,V Sehwag,"Rajiv Gandhi Intl Stadium, Hyderabad",Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9,143,20,N,Normal,IL Howell,AM Saheba,0,Deccan Chargers
335989,2008,Chennai,2008-04-23,League,ML Hayden,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6,209,20,N,Normal,DJ Harper,GA Pratapkumar,0,Chennai Super Kings
335990,2008,Hyderabad,2008-04-24,League,YK Pathan,"Rajiv Gandhi Intl Stadium, Hyderabad",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,215,20,N,Normal,Asad Rauf,MR Benson,1,Deccan Chargers
335991,2008,Chandigarh,2008-04-25,League,KC Sangakkara,"PCA IS Bindra Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66,183,20,N,Normal,Aleem Dar,AM Saheba,0,Punjab Kings
