player_name,season,team
A Ashish Reddy,2012,Deccan Chargers
A Ashish Reddy,2013,Sunrisers Hyderabad
A Ashish Reddy,2015,Sunrisers Hyderabad
A Ashish Reddy,2016,Sunrisers Hyderabad
A Badoni,2022,Lucknow Super Giants
A Badoni,2023,Lucknow Super Giants
A Badoni,2024,Lucknow Super Giants
A Chandila,2012,Rajasthan Royals
A Chandila,2013,Rajasthan Royals
A Chopra,2008,Kolkata Knight Riders
A Chopra,2009,Kolkata Knight Riders
A Choudhary,2017,Royal Challengers Bengaluru
A Dananjaya,2018,Mumbai Indians
A Flintoff,2009,Chennai Super Kings
A Kamboj,2024,Mumbai Indians
A Kumble,2008,Royal Challengers Bengaluru
A Kumble,2009,Royal Challengers Bengaluru
A Kumble,2010,Royal Challengers Bengaluru
A Manohar,2022,Gujarat Titans
A Manohar,2023,Gujarat Titans
A Manohar,2024,Gujarat Titans
A Mishra,2008,Delhi Capitals
A Mishra,2009,Delhi Capitals
A Mishra,2010,Delhi Capitals
A Mishra,2011,Deccan Chargers
A Mishra,2012,Deccan Chargers
A Mishra,2013,Sunrisers Hyderabad
A Mishra,2014,Sunrisers Hyderabad
A Mishra,2015,Delhi Capitals
A Mishra,2016,Delhi Capitals
A Mishra,2017,Delhi Capitals
A Mishra,2018,Delhi Capitals
A Mishra,2019,Delhi Capitals
A Mishra,2020,Delhi Capitals
A Mishra,2021,Delhi Capitals
A Mishra,2023,Lucknow Super Giants
A Mishra,2024,Lucknow Super Giants
A Mithun,2009,Royal Challengers Bengaluru
A Mithun,2010,Royal Challengers Bengaluru
A Mithun,2011,Royal Challengers Bengaluru
A Mithun,2012,Royal Challengers Bengaluru
A Mithun,2013,Royal Challengers Bengaluru
A Mukund,2008,Chennai Super Kings
A Mukund,2013,Royal Challengers Bengaluru
A Nehra,2008,Mumbai Indians
A Nehra,2009,Delhi Capitals
A Nehra,2010,Delhi Capitals
A Nehra,2012,Pune Warriors
A Nehra,2013,Delhi Capitals
A Nehra,2014,Chennai Super Kings
A Nehra,2015,Chennai Super Kings
A Nehra,2016,Sunrisers Hyderabad
A Nehra,2017,Sunrisers Hyderabad
A Nel,2008,Mumbai Indians
A Nortje,2020,Delhi Capitals
A Nortje,2021,Delhi Capitals
A Nortje,2022,Delhi Capitals
A Nortje,2023,Delhi Capitals
A Nortje,2024,Delhi Capitals
A Raghuvanshi,2024,Kolkata Knight Riders
A Singh,2009,Rajasthan Royals
A Singh,2011,Rajasthan Royals
A Singh,2012,Rajasthan Royals
A Symonds,2008,Deccan Chargers
A Symonds,2009,Deccan Chargers
A Symonds,2010,Deccan Chargers
A Symonds,2011,Mumbai Indians
A Tomar,2022,Kolkata Knight Riders
A Uniyal,2010,Rajasthan Royals
A Zampa,2016,Rising Pune Supergiant
A Zampa,2017,Rising Pune Supergiant
A Zampa,2020,Royal Challengers Bengaluru
A Zampa,2023,Rajasthan Royals
AA Bilakhia,2009,Deccan Chargers
AA Bilakhia,2010,Deccan Chargers
AA Chavan,2011,Rajasthan Royals
AA Chavan,2012,Rajasthan Royals
AA Chavan,2013,Rajasthan Royals
AA Jhunjhunwala,2010,Rajasthan Royals
AA Jhunjhunwala,2011,Pune Warriors
AA Jhunjhunwala,2012,Deccan Chargers
AA Kazi,2011,Royal Challengers Bengaluru
AA Kulkarni,2024,Lucknow Super Giants
AA Noffke,2008,Royal Challengers Bengaluru
AB Agarkar,2008,Kolkata Knight Riders
AB Agarkar,2009,Kolkata Knight Riders
AB Agarkar,2010,Kolkata Knight Riders
AB Agarkar,2011,Delhi Capitals
AB Agarkar,2012,Delhi Capitals
AB Agarkar,2013,Delhi Capitals
AB Barath,2010,Punjab Kings
AB Dinda,2008,Kolkata Knight Riders
AB Dinda,2009,Kolkata Knight Riders
AB Dinda,2010,Kolkata Knight Riders
AB Dinda,2011,Delhi Capitals
AB Dinda,2012,Pune Warriors
AB Dinda,2013,Pune Warriors
AB Dinda,2014,Royal Challengers Bengaluru
AB Dinda,2015,Royal Challengers Bengaluru
AB Dinda,2016,Rising Pune Supergiant
AB Dinda,2017,Rising Pune Supergiant
AB McDonald,2009,Delhi Capitals
AB McDonald,2010,Delhi Capitals
AB McDonald,2011,Delhi Capitals
AB McDonald,2012,Royal Challengers Bengaluru
AB McDonald,2013,Royal Challengers Bengaluru
AB de Villiers,2008,Delhi Capitals
AB de Villiers,2009,Delhi Capitals
AB de Villiers,2010,Delhi Capitals
AB de Villiers,2011,Royal Challengers Bengaluru
AB de Villiers,2012,Royal Challengers Bengaluru
AB de Villiers,2013,Royal Challengers Bengaluru
AB de Villiers,2014,Royal Challengers Bengaluru
AB de Villiers,2015,Royal Challengers Bengaluru
AB de Villiers,2016,Royal Challengers Bengaluru
AB de Villiers,2017,Royal Challengers Bengaluru
AB de Villiers,2018,Royal Challengers Bengaluru
AB de Villiers,2019,Royal Challengers Bengaluru
AB de Villiers,2020,Royal Challengers Bengaluru
AB de Villiers,2021,Royal Challengers Bengaluru
AC Blizzard,2011,Mumbai Indians
AC Blizzard,2012,Mumbai Indians
AC Gilchrist,2008,Deccan Chargers
AC Gilchrist,2009,Deccan Chargers
AC Gilchrist,2010,Deccan Chargers
AC Gilchrist,2011,Punjab Kings
AC Gilchrist,2012,Punjab Kings
AC Gilchrist,2013,Punjab Kings
AC Thomas,2011,Pune Warriors
AC Thomas,2012,Pune Warriors
AC Voges,2010,Rajasthan Royals
AD Hales,2018,Sunrisers Hyderabad
AD Mascarenhas,2008,Rajasthan Royals
AD Mascarenhas,2009,Rajasthan Royals
AD Mascarenhas,2010,Rajasthan Royals
AD Mascarenhas,2012,Punjab Kings
AD Mascarenhas,2013,Punjab Kings
AD Mathews,2009,Kolkata Knight Riders
AD Mathews,2010,Kolkata Knight Riders
AD Mathews,2012,Pune Warriors
AD Mathews,2013,Pune Warriors
AD Mathews,2015,Delhi Capitals
AD Mathews,2017,Delhi Capitals
AD Nath,2016,Gujarat Lions
AD Nath,2017,Gujarat Lions
AD Nath,2018,Punjab Kings
AD Nath,2019,Royal Challengers Bengaluru
AD Russell,2012,Delhi Capitals
AD Russell,2013,Delhi Capitals
AD Russell,2014,Kolkata Knight Riders
AD Russell,2015,Kolkata Knight Riders
