team,matches_played,wins,losses,win_pct,recent_form_pct
Gujarat Titans,45,28,17,62.22,40.0
Chennai Super Kings,238,138,100,57.98,40.0
Mumbai Indians,261,144,117,55.17,20.0
Lucknow Super Giants,44,24,20,54.55,40.0
Kolkata Knight Riders,251,131,120,52.19,100.0
Rajasthan Royals,221,112,109,50.68,20.0
Rising Pune Supergiant,30,15,15,50.0,60.0
Sunrisers Hyderabad,182,88,94,48.35,60.0
Royal Challengers Bengaluru,255,123,132,48.24,80.0
Delhi Capitals,252,115,137,45.63,60.0
Punjab Kings,246,112,134,45.53,40.0
Gujarat Lions,30,13,17,43.33,20.0
Kochi Tuskers Kerala,14,6,8,42.86,40.0
Deccan Chargers,75,29,46,38.67,40.0
Pune Warriors,46,12,34,26.09,40.0
