venue,total_matches,bat_first_wins,avg_target
Arun Jaitley Stadium,14,6,166.0
"Arun Jaitley Stadium, Delhi",16,4,200.1
Barabati Stadium,7,2,168.7
"Barsapara Cricket Stadium, Guwahati",3,1,181.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,6,169.5
Brabourne Stadium,10,6,181.4
"Brabourne Stadium, Mumbai",17,3,178.4
Buffalo Park,3,3,148.3
De Beers Diamond Oval,3,2,159.0
Dr DY Patil Sports Academy,17,7,147.6
"Dr DY Patil Sports Academy, Mumbai",20,3,171.7
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,5,149.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,2,232.5
Dubai International Cricket Stadium,46,19,164.8
Eden Gardens,77,28,157.7
"Eden Gardens, Kolkata",16,2,196.6
Feroz Shah Kotla,60,26,162.2
Green Park,4,0,162.2
Himachal Pradesh Cricket Association Stadium,9,1,176.7
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,0,203.0
Holkar Cricket Stadium,9,1,161.3
JSCA International Stadium Complex,7,3,150.0
Kingsmead,15,10,147.0
M Chinnaswamy Stadium,65,8,167.3
"M Chinnaswamy Stadium, Bengaluru",14,0,197.2
M.Chinnaswamy Stadium,15,1,174.9
MA Chidambaram Stadium,9,2,151.6
"MA Chidambaram Stadium, Chepauk",48,34,167.0
"MA Chidambaram Stadium, Chepauk, Chennai",28,12,165.5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,1,168.4
Maharashtra Cricket Association Stadium,22,2,167.4
"Maharashtra Cricket Association Stadium, Pune",13,2,172.5
"Narendra Modi Stadium, Ahmedabad",24,5,174.9
Nehru Stadium,5,2,148.4
New Wanderers Stadium,8,2,145.0
Newlands,7,4,133.1
OUTsurance Oval,2,1,136.0
Punjab Cricket Association IS Bindra Stadium,10,1,176.6
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,2,165.1
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,0,191.2
"Punjab Cricket Association Stadium, Mohali",35,14,164.3
Rajiv Gandhi International Stadium,15,5,163.6
"Rajiv Gandhi International Stadium, Uppal",49,23,154.8
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,7,189.4
"Sardar Patel Stadium, Motera",12,6,164.2
Saurashtra Cricket Association Stadium,10,3,169.9
Sawai Mansingh Stadium,47,19,156.9
"Sawai Mansingh Stadium, Jaipur",10,6,180.5
Shaheed Veer Narayan Singh International Stadium,6,3,147.3
Sharjah Cricket Stadium,28,8,160.0
Sheikh Zayed Stadium,29,15,159.9
St George's Park,7,7,160.0
Subrata Roy Sahara Stadium,16,15,150.4
SuperSport Park,12,6,155.9
"Vidarbha Cricket Association Stadium, Jamtha",3,2,150.3
Wankhede Stadium,73,22,167.0
"Wankhede Stadium, Mumbai",45,8,178.1
"Zayed Cricket Stadium, Abu Dhabi",8,3,160.0
